Record ID,Store Name,Store Street Address,Additonal Address,City,State,Zip Code,Zip4,County,Store Type,Latitude,Longitude,Incentive Program,Grantee Name,x,y
1417462,Diamond Gas & Mart 3,8329 Folsom Blvd,,Sacramento,CA,95826,3538,SACRAMENTO,Convenience Store,38.547421,-121.39854,,,-13514023.655846855,4657049.301040788
1422737,Mediterranean Sea Market & Deli 1,5112 Madison Ave,,Sacramento,CA,95841,3000,SACRAMENTO,Grocery Store,38.66032,-121.34557,,,-13508127.062419534,4673131.466601676
1423183,Burger King # 5085,7225 Greenhaven Dr,,Sacramento,CA,95831,    ,SACRAMENTO,Restaurant Meals Program,38.494667,-121.52336,,,-13527918.55468767,4649543.289994693
1424070,Hi & Buy,5625 Mack Rd,,Sacramento,CA,95823,4669,SACRAMENTO,Convenience Store,38.474941,-121.43665,,,-13518266.041640986,4646738.022507352
1424262,Bakhtar International Market N/A,4306 Marconi Ave,,Sacramento,CA,95821,4310,SACRAMENTO,Grocery Store,38.617191,-121.36407,,,-13510186.472999208,4666984.866858898
1426067,Winn Park Farmers' Market,1616 28th St,,Sacramento,CA,95816,6939,SACRAMENTO,Farmers and Markets,38.566818,-121.47284,,California Department of Food and Agriculture,-13522294.694012795,4659810.553747744
1428314,Hi & Buy 3,4143 23rd Ave,,Sacramento,CA,95820,5099,SACRAMENTO,Convenience Store,38.532551,-121.45802,,,-13520644.939159239,4654932.992071298
1429367,Hi & Buy 2,5960 Freeport Blvd,,Sacramento,CA,95822,3507,SACRAMENTO,Convenience Store,38.517342,-121.50008,,,-13525327.036942003,4652768.888802936
1430288,Afrikico International Market,7230 S Land Park Dr,Ste 101,Sacramento,CA,95831,3657,SACRAMENTO,Grocery Store,38.494522,-121.51267,,,-13526728.54933109,4649522.666500202
1430295,Power Mart,8111 Scottsdale Dr,Ste A,Sacramento,CA,95828,4467,SACRAMENTO,Convenience Store,38.488152,-121.40816,,,-13515094.549348285,4648616.696013546
1431811,Bros Liquor,3510 Auburn Blvd,Ste 7,Sacramento,CA,95821,2067,SACRAMENTO,Convenience Store,38.636765,-121.3815,,,-13512126.771723736,4669774.028999544
1432194,Root 64 Sacramento,4971 64th St,,Sacramento,CA,95820,5851,SACRAMENTO,Farmers and Markets,38.530266,-121.42867,GusNIP,California Department of Food and Agriculture,-13517377.712104453,4654607.828021948
1433718,Burger King 15906,8338 Power Inc Road,,Sacramento,CA,95828,    ,SACRAMENTO,Restaurant Meals Program,38.454933,-121.40633,,,-13514890.834680133,4643893.435303273
1435578,Madison Mixx Mart 6,5038 Madison Ave,,Sacramento,CA,95841,2605,SACRAMENTO,Convenience Store,38.660488,-121.34779,,,-13508374.191689095,4673155.416629893
1436098,Dollar East West,5659 Mack Rd,,Sacramento,CA,95823,4670,SACRAMENTO,Grocery Store,38.474392,-121.43544,,,-13518131.345057126,4646659.959278344
1436890,Mini Mart Smoke Shop,5222 Hillsdale Blvd,Ste 6,Sacramento,CA,95842,3500,SACRAMENTO,Convenience Store,38.66209,-121.3638,,,-13510156.416736694,4673383.800078323
